CpG_id	intercept	f	pval	qval	CpG_id	geneSymbol	posDesc	chr	start	end	CpG_id	beta(AD)	beta(Normal)	Delta beta
cg25427918	0.0	0.0	6.44047629453974E-5	0.0	cg25427918	CLCN5	TSS200	X	49687176	49687299		0.0	0.0	0.0	
cg25071634	0.0	0.0	4.27757223866734E-4	0.0	cg25071634	TTTY20	TSS200	Y	9172441	9172564		0.0	0.0	0.0	
cg19937198	0.0	0.0	6.06996924078643E-4	0.0	cg19937198	FAM3A	TSS1500	X	153745361	153745484		0.0	0.0	0.0	
cg15935877	0.0	0.0	7.11419675999161E-4	0.0	cg15935877	TSPY1	TSS1500	Y	9303715	9303838		0.0	0.0	0.0	
cg13130271	0.0	0.0	7.11461516314116E-4	0.0	cg13130271	PCSK1N	TSS200	X	48694012	48694135		0.0	0.0	0.0	
cg00240113	0.0	0.0	8.08283282590304E-4	0.0	cg00240113	ZIC3	TSS200	X	136648241	136648364		0.0	0.0	0.0	
cg19355911	0.0	0.0	8.12900077782857E-4	0.0	cg19355911	PRPS2	TSS200	X	12809326	12809449		0.0	0.0	0.0	
cg12277627	0.0	0.0	8.32120446782358E-4	0.0	cg12277627	ELF4	TSS1500	X	129245225	129245348		0.0	0.0	0.0	
cg12865398	0.0	0.0	8.44164330366829E-4	0.0	cg12865398	SYP	TSS200	X	49056670	49056793		0.0	0.0	0.0	
cg11152253	0.0	0.0	8.55906325743702E-4	0.0	cg11152253	WDR45	TSS200	X	48958091	48958214		0.0	0.0	0.0	
cg00114913	0.0	0.0	9.13997798588241E-4	0.0	cg00114913	LONRF3	TSS1500	X	118107540	118107663		0.0	0.0	0.0	
cg01758988	0.0	0.0	9.29935931421548E-4	0.0	cg01758988	LOC100131434	TSS1500	X	148621525	148621648		0.0	0.0	0.0	
cg21887683	0.0	0.0	9.32111370772316E-4	0.0	cg21887683	HTATSF1	TSS1500	X	135579043	135579166		0.0	0.0	0.0	
cg22191603	0.0	0.0	9.48900546675528E-4	0.0	cg22191603	HMGB3	TSS200	X	150151572	150151695		0.0	0.0	0.0	
cg11673471	0.0	0.0	9.60829849921484E-4	0.0	cg11673471	ZDHHC9	TSS200	X	128977578	128977701		0.0	0.0	0.0	
cg03989304	0.0	0.0	9.66501937427085E-4	0.0	cg03989304	CASK	TSS1500	X	117973613	117973736		0.0	0.0	0.0	
cg03878985	0.0	0.0	9.72695125562237E-4	0.0	cg03878985	CXorf41	TSS200	X	106449739	106449862		0.0	0.0	0.0	
cg19005062	0.0	0.0	9.85941114553515E-4	0.0	cg19005062	SYP	TSS200	X	49056661	49056784		0.0	0.0	0.0	
cg22662205	0.0	0.0	9.9058295057194E-4	0.0	cg22662205	LONRF3	TSS200	X	118108528	118108651		0.0	0.0	0.0	
cg27595778	0.0	0.0	0.00101143883207618	0.0	cg27595778	MBNL3	TSS200	X	131624071	131624194		0.0	0.0	0.0	
cg24740922	0.0	0.0	0.00102391432063293	0.0	cg24740922	NSDHL	TSS200	X	151999330	151999453		0.0	0.0	0.0	
cg15199886	0.0	0.0	0.00104485390866323	0.0	cg15199886	SYP	TSS200	X	49056688	49056811		0.0	0.0	0.0	
cg06615444	0.0	0.0	0.00105680436291383	0.0	cg06615444	MAP3K15	TSS200	X	19533456	19533579		0.0	0.0	0.0	
